bundesland,diesel,e5,e10,date
bundesweit,2.1778150503720126,2.103131091432137,1.9838413917001705,2022-03-23 00:00:00
Baden-Württemberg,2.1927286807063933,2.1216061951081318,2.0312354093871,2022-03-24 00:00:00
Bayern,2.1951510792860107,2.099810440016604,1.9748076587795769,2022-03-24 00:00:00
Berlin,2.183185046987286,2.128211857379768,2.0596698452183526,2022-03-24 00:00:00
Brandenburg,2.185530150503339,2.088673178510914,1.9892306388916576,2022-03-24 00:00:00
Bremen,2.1891502233049125,2.133656922452294,2.053342265529842,2022-03-24 00:00:00
Hamburg,2.16962893081761,2.125321653189578,2.040886253369272,2022-03-24 00:00:00
Hessen,2.192662410046564,2.113606674192183,2.0072585014815862,2022-03-24 00:00:00
Mecklenburg-Vorpommern,2.176276466621713,2.031469318948078,1.916245111260957,2022-03-24 00:00:00
Niedersachsen,2.181637069383794,2.085446685612624,1.903105589057554,2022-03-24 00:00:00
Nordrhein-Westfalen,2.174076603084416,2.098015244521104,2.003702719155844,2022-03-24 00:00:00
Rheinland-Pfalz,2.176084524722784,2.098120719715461,2.014365088220936,2022-03-24 00:00:00
Saarland,2.17658583106267,2.108051498637602,1.998896457765668,2022-03-24 00:00:00
Sachsen,2.162449348721064,2.103867989471553,1.9920286832692176,2022-03-24 00:00:00
Sachsen-Anhalt,2.168107542274313,2.062950612865706,1.9181206942829023,2022-03-24 00:00:00
Schleswig-Holstein,2.175836181460536,2.083086427342021,1.916235984755348,2022-03-24 00:00:00
Thüringen,2.185030935960591,2.097122660098522,1.9246980295566505,2022-03-24 00:00:00
bundesweit,2.1822063327952037,2.0986741157681625,1.9806249303271228,2022-03-24 00:00:00
Baden-Württemberg,2.194502490631569,2.1166061831642446,2.0235475276482955,2022-03-25 00:00:00
Bayern,2.194427872115697,2.098810570360741,1.9698098797530064,2022-03-25 00:00:00
Berlin,2.183409495548961,2.122957243053682,2.052251416239547,2022-03-25 00:00:00
Brandenburg,2.1893895098039216,2.0806548039215684,1.9800354901960784,2022-03-25 00:00:00
Bremen,2.189846216436127,2.126127746135069,2.040827095199349,2022-03-25 00:00:00
Hamburg,2.1663114224137927,2.10829058908046,2.0211111709770115,2022-03-25 00:00:00
Hessen,2.1924211423699917,2.1059097016197783,1.9980996760443308,2022-03-25 00:00:00
Mecklenburg-Vorpommern,2.166667549211465,2.0147398411419366,1.90330954299528,2022-03-25 00:00:00
Niedersachsen,2.177791790236784,2.061476392223321,1.877896036341383,2022-03-25 00:00:00
Nordrhein-Westfalen,2.1772356032104336,2.0892335841484826,1.996454125909205,2022-03-25 00:00:00
Rheinland-Pfalz,2.176099979127531,2.0932521394280945,2.009491964099353,2022-03-25 00:00:00
Saarland,2.169894606630381,2.099886937159822,1.9980304304799603,2022-03-25 00:00:00
Sachsen,2.1639091392136023,2.0995769792773644,1.988542175876727,2022-03-25 00:00:00
Sachsen-Anhalt,2.172451308139535,2.055610465116279,1.908958393895349,2022-03-25 00:00:00
Schleswig-Holstein,2.181393208869555,2.0639733550842854,1.8985286689626004,2022-03-25 00:00:00
Thüringen,2.1921076751495487,2.101469025651425,1.929381324140728,2022-03-25 00:00:00
